gene,geneid,pm_ld_aging,pm_pleio3_aging,pm_pleio5_aging,pm_pleio10_aging,pn_ld_aging,pn_pleio3_aging,pn_pleio5_aging,pn_pleio10_aging
OR7G2,390882,4.25967878467138,Intermediate pleiotropy,3rd,6,2.44374561444119,Intermediate pleiotropy,4th,7
OR7G3,390883,2.54065317596145,Low pleiotropy,1st,1,0.785962887106327,Low pleiotropy,1st,1
OR8A1,390275,4.04234591582089,Intermediate pleiotropy,2nd,4,2.44392049975767,Intermediate pleiotropy,4th,7
OR8B12,219858,4.10203384158464,Intermediate pleiotropy,3rd,5,2.4689783965465,Intermediate pleiotropy,4th,8
OR8B2,26595,4.2377677842659,Intermediate pleiotropy,3rd,6,2.24199427479608,Intermediate pleiotropy,3rd,5
OR8B3,390271,4.17559525602707,Intermediate pleiotropy,3rd,5,2.24129297293973,Intermediate pleiotropy,3rd,5
OR8B4,283162,4.98579380951826,High pleiotropy,5th,9,2.34626583013479,Intermediate pleiotropy,3rd,5
OR8B8,26493,4.05131642092432,Intermediate pleiotropy,2nd,4,2.34626583013479,Intermediate pleiotropy,3rd,5
OR8D1,283159,3.69856942893344,Low pleiotropy,1st,2,1.63472720873339,Intermediate pleiotropy,2nd,4
OR8D2,283160,3.69856942893344,Low pleiotropy,1st,2,1.63472720873339,Intermediate pleiotropy,2nd,4
OR8D4,338662,4.01387842451387,Intermediate pleiotropy,2nd,4,1.56992750406965,Low pleiotropy,1st,2
OR8G1,26494,4.04698429159192,Intermediate pleiotropy,2nd,4,1.51359682625869,Low pleiotropy,1st,2
OR8G2,26492,4.24819531815659,Intermediate pleiotropy,3rd,6,1.44880885886451,Low pleiotropy,1st,2
OR8G5,219865,3.96851393238597,Intermediate pleiotropy,2nd,4,2.20066441434938,Intermediate pleiotropy,3rd,5
OR8H1,219469,3.42394468962484,Low pleiotropy,1st,1,0.684350997050469,Low pleiotropy,1st,1
OR8H2,390151,3.75856238171505,Intermediate pleiotropy,2nd,3,1.20205037221879,Low pleiotropy,1st,2
OR8H3,390152,2.09929277962495,Low pleiotropy,1st,1,0,Low pleiotropy,1st,1
OR8I2,120586,3.75856238171505,Intermediate pleiotropy,2nd,3,1.20205037221879,Low pleiotropy,1st,2
OR8J1,219477,2.76338069035926,Low pleiotropy,1st,1,0.967164133735469,Low pleiotropy,1st,2
OR8J3,81168,2.37026098912327,Low pleiotropy,1st,1,0,Low pleiotropy,1st,1
OR8K1,390157,3.02667131485702,Low pleiotropy,1st,1,1.79844461862233,Intermediate pleiotropy,3rd,5
OR8K3,219473,3.12323554886963,Low pleiotropy,1st,1,1.16903812784751,Low pleiotropy,1st,2
OR8K5,219453,1.91775027903198,Low pleiotropy,1st,1,0,Low pleiotropy,1st,1
OR8S1,341568,4.42087065482528,Intermediate pleiotropy,4th,7,4.03257657800461,High pleiotropy,5th,10
OR8U1,219417,2.89594383551976,Low pleiotropy,1st,1,1.11556958321934,Low pleiotropy,1st,2
OR9A2,135924,2.84313605625761,Low pleiotropy,1st,1,0.784424717930171,Low pleiotropy,1st,1
OR9A4,130075,3.19032565973737,Low pleiotropy,1st,1,1.51286970240929,Low pleiotropy,1st,2
OR9G1,390174,2.51322366186081,Low pleiotropy,1st,1,0.635790497087244,Low pleiotropy,1st,1
OR9G4,283189,2.78453908516721,Low pleiotropy,1st,1,1.24868019673641,Low pleiotropy,1st,2
OR9I1,219954,3.62815547677969,Low pleiotropy,1st,2,2.29110183691833,Intermediate pleiotropy,3rd,5
OR9K2,441639,3.73823437039796,Intermediate pleiotropy,2nd,3,0.746922381087777,Low pleiotropy,1st,1
OR9Q1,219956,5.02234739571748,High pleiotropy,5th,9,3.20501680756904,High pleiotropy,5th,9
OR9Q2,219957,3.96392853732232,Intermediate pleiotropy,2nd,4,1.54202508000237,Low pleiotropy,1st,2
ORAI1,84876,4.88200206695914,High pleiotropy,5th,9,3.25943020239698,High pleiotropy,5th,9
ORAI2,80228,5.28164591624976,High pleiotropy,5th,10,2.48135710789052,Intermediate pleiotropy,4th,8
ORAI3,93129,3.999649195202,Intermediate pleiotropy,2nd,4,2.35873550531791,Intermediate pleiotropy,3rd,6
ORAOV1,220064,3.8003208292954,Intermediate pleiotropy,2nd,3,0.827810948004211,Low pleiotropy,1st,2
ORC1,4998,4.31310746505993,Intermediate pleiotropy,3rd,6,1.61018927298617,Intermediate pleiotropy,2nd,3
ORC2,4999,4.30174105811585,Intermediate pleiotropy,3rd,6,2.38943198640453,Intermediate pleiotropy,3rd,6
ORC3,23595,4.68667817794927,Intermediate pleiotropy,4th,8,4.01783750175159,High pleiotropy,5th,10
ORC4,5000,3.98588423503588,Intermediate pleiotropy,2nd,4,1.58723058685858,Intermediate pleiotropy,2nd,3
ORC5,5001,3.65715681506423,Low pleiotropy,1st,2,0.78557144916642,Low pleiotropy,1st,1
ORC6,23594,3.87195268567676,Intermediate pleiotropy,2nd,3,2.35854712214143,Intermediate pleiotropy,3rd,6
ORM1,5004,3.56541849058597,Low pleiotropy,1st,2,1.65366059826454,Intermediate pleiotropy,3rd,5
ORM2,5005,3.61479599164781,Low pleiotropy,1st,2,1.65366059826454,Intermediate pleiotropy,3rd,5
ORMDL1,94101,3.6413554878387,Low pleiotropy,1st,2,1.58227159046846,Low pleiotropy,1st,2
ORMDL2,29095,3.48392105153936,Low pleiotropy,1st,2,0.816000907370495,Low pleiotropy,1st,2
ORMDL3,94103,5.29957513068575,High pleiotropy,5th,10,3.22495490737474,High pleiotropy,5th,9
OS9,10956,4.92877522436845,High pleiotropy,5th,9,3.20665239608256,High pleiotropy,5th,9
OSBP,5007,4.29122969924237,Intermediate pleiotropy,3rd,6,2.24067031078944,Intermediate pleiotropy,3rd,5
OSBP2,23762,4.89933864330314,High pleiotropy,5th,9,1.64461703206669,Intermediate pleiotropy,2nd,4
OSBPL10,114884,4.6539561664869,Intermediate pleiotropy,4th,8,2.48841472807841,Intermediate pleiotropy,4th,8
OSBPL11,114885,4.03867723638859,Intermediate pleiotropy,2nd,4,2.41437955285947,Intermediate pleiotropy,3rd,6
OSBPL1A,114876,5.23431732557606,High pleiotropy,5th,10,2.46988451375672,Intermediate pleiotropy,4th,8
OSBPL2,9885,4.19756664551648,Intermediate pleiotropy,3rd,5,2.4240058744911,Intermediate pleiotropy,3rd,6
OSBPL3,26031,4.43999932142434,Intermediate pleiotropy,4th,7,2.47296965506121,Intermediate pleiotropy,4th,8
OSBPL5,114879,4.22478148059909,Intermediate pleiotropy,3rd,5,2.48351500489957,Intermediate pleiotropy,4th,8
OSBPL6,114880,4.46906352547845,Intermediate pleiotropy,4th,7,1.64338872680698,Intermediate pleiotropy,2nd,4
OSBPL7,114881,4.33719866819757,Intermediate pleiotropy,3rd,6,1.63604060919742,Intermediate pleiotropy,2nd,4
OSBPL8,114882,4.18263126064146,Intermediate pleiotropy,3rd,5,2.45751695281879,Intermediate pleiotropy,4th,7
OSBPL9,114883,5.02006555205019,High pleiotropy,5th,9,3.24769821460585,High pleiotropy,5th,9
OSCAR,126014,4.05536721748681,Intermediate pleiotropy,2nd,4,1.65327913700376,Intermediate pleiotropy,3rd,5
OSCP1,127700,4.19883290565052,Intermediate pleiotropy,3rd,5,1.63416675411178,Intermediate pleiotropy,2nd,4
OSER1,51526,4.47697987974812,Intermediate pleiotropy,4th,7,1.64186522921778,Intermediate pleiotropy,2nd,4
OSGEP,55644,3.79006803533498,Intermediate pleiotropy,2nd,3,1.65508491592594,Intermediate pleiotropy,3rd,5
OSGEPL1,64172,3.0431588619026,Low pleiotropy,1st,1,0.750583822327776,Low pleiotropy,1st,1
OSGIN1,29948,3.69353366252819,Low pleiotropy,1st,2,1.625939515012,Intermediate pleiotropy,2nd,3
OSGIN2,734,4.41744855599899,Intermediate pleiotropy,4th,7,2.38909982167591,Intermediate pleiotropy,3rd,6
OSM,5008,4.2088672140665,Intermediate pleiotropy,3rd,5,1.62295590108923,Intermediate pleiotropy,2nd,3
OSMR,9180,4.29394092530904,Intermediate pleiotropy,3rd,6,2.46021182991032,Intermediate pleiotropy,4th,7
OSR1,130497,3.95963892712702,Intermediate pleiotropy,2nd,4,1.62857511889224,Intermediate pleiotropy,2nd,4
OSR2,116039,3.6584855692709,Low pleiotropy,1st,2,1.28644075350918,Low pleiotropy,1st,2
OST4,100128731,3.28252108159973,Low pleiotropy,1st,1,0.787086143803452,Low pleiotropy,1st,1
OSTC,58505,3.55537555381068,Low pleiotropy,1st,2,0.725929687611895,Low pleiotropy,1st,1
OSTF1,26578,3.95712164317319,Intermediate pleiotropy,2nd,4,1.65698987477592,Intermediate pleiotropy,3rd,5
OSTM1,28962,3.56048091493732,Low pleiotropy,1st,2,1.64465107014842,Intermediate pleiotropy,2nd,4
OSTN,344901,4.25636126205046,Intermediate pleiotropy,3rd,6,3.28799167415019,High pleiotropy,5th,10
OTOA,146183,4.09045685863164,Intermediate pleiotropy,3rd,5,1.65508902397029,Intermediate pleiotropy,3rd,5
OTOF,9381,3.82000381607382,Intermediate pleiotropy,2nd,3,1.65381024845146,Intermediate pleiotropy,3rd,5
OTOG,340990,4.18445827671745,Intermediate pleiotropy,3rd,5,1.65056371969049,Intermediate pleiotropy,3rd,5
OTOGL,283310,4.83703444488435,High pleiotropy,5th,9,3.28829684315882,High pleiotropy,5th,10
OTOL1,131149,4.28373550270304,Intermediate pleiotropy,3rd,6,2.39535343889878,Intermediate pleiotropy,3rd,6
OTOP1,133060,3.77936407048732,Intermediate pleiotropy,2nd,3,1.61173507138754,Intermediate pleiotropy,2nd,3
OTOP2,92736,3.23578753383058,Low pleiotropy,1st,1,0.818414676856008,Low pleiotropy,1st,2
OTOP3,347741,3.53569494214569,Low pleiotropy,1st,2,1.63605175960351,Intermediate pleiotropy,2nd,4
OTOR,56914,4.49187303780251,Intermediate pleiotropy,4th,7,1.66066481387592,Intermediate pleiotropy,3rd,5
OTOS,150677,3.46947976535571,Low pleiotropy,1st,2,1.63121248336292,Intermediate pleiotropy,2nd,4
OTP,23440,3.96057847097469,Intermediate pleiotropy,2nd,4,1.65569290648927,Intermediate pleiotropy,3rd,5
OTUB1,55611,3.52510768991773,Low pleiotropy,1st,2,1.57099324814592,Low pleiotropy,1st,2
OTUB2,78990,4.17927289255843,Intermediate pleiotropy,3rd,5,2.46631403635583,Intermediate pleiotropy,4th,7
OTUD1,220213,3.89846416868744,Intermediate pleiotropy,2nd,3,1.61578736370397,Intermediate pleiotropy,2nd,3
OTUD3,23252,4.07520904886025,Intermediate pleiotropy,3rd,5,2.4644748062154,Intermediate pleiotropy,4th,7
OTUD4,54726,4.1717870256516,Intermediate pleiotropy,3rd,5,3.31235413771745,High pleiotropy,5th,10
OTUD6B,51633,4.34798938828363,Intermediate pleiotropy,3rd,6,2.2951852329991,Intermediate pleiotropy,3rd,5
OTUD7A,161725,4.47199170937211,Intermediate pleiotropy,4th,7,3.2999548861517,High pleiotropy,5th,10
OTUD7B,56957,4.65639485362716,Intermediate pleiotropy,4th,8,2.47717863992629,Intermediate pleiotropy,4th,8
OTULIN,90268,4.81701616770839,High pleiotropy,5th,9,1.64449085641889,Intermediate pleiotropy,2nd,4
OTX1,5013,4.09606154232712,Intermediate pleiotropy,3rd,5,2.30417598148392,Intermediate pleiotropy,3rd,5
OTX2,5015,2.95884022596257,Low pleiotropy,1st,1,0.813536667625863,Low pleiotropy,1st,1
OVCA2,124641,4.69122984876363,Intermediate pleiotropy,4th,8,2.46946314577943,Intermediate pleiotropy,4th,8
OVCH1,341350,4.57490814948042,Intermediate pleiotropy,4th,7,3.28077090591539,High pleiotropy,5th,9
OVCH2,341277,3.85679694986039,Intermediate pleiotropy,2nd,3,1.62683976358743,Intermediate pleiotropy,2nd,4
OVGP1,5016,4.19257648284911,Intermediate pleiotropy,3rd,5,1.61268637708558,Intermediate pleiotropy,2nd,3
OVOL1,5017,4.91456808438564,High pleiotropy,5th,9,3.26849196136265,High pleiotropy,5th,9
OVOL2,58495,4.22169288876014,Intermediate pleiotropy,3rd,5,3.30488864741227,High pleiotropy,5th,10
OVOL3,728361,3.6140187916757,Low pleiotropy,1st,2,1.62823297748449,Intermediate pleiotropy,2nd,4
OVOS2,144203,4.11746158346904,Intermediate pleiotropy,3rd,5,1.5519917824513,Low pleiotropy,1st,2
OXA1L,5018,4.36039087087406,Intermediate pleiotropy,3rd,6,1.66063605756549,Intermediate pleiotropy,3rd,5
OXCT1,5019,3.69390372163664,Low pleiotropy,1st,2,2.44077256406103,Intermediate pleiotropy,4th,7
OXCT2,64064,4.62779569262549,Intermediate pleiotropy,4th,8,3.3041098795768,High pleiotropy,5th,10
OXER1,165140,3.87685656097346,Intermediate pleiotropy,2nd,3,1.58772942081499,Intermediate pleiotropy,2nd,3
OXGR1,27199,4.68536981985173,Intermediate pleiotropy,4th,8,2.49578103845579,High pleiotropy,5th,9
OXLD1,339229,3.25508228341917,Low pleiotropy,1st,1,1.56611934696012,Low pleiotropy,1st,2
